ID;backpack_length;backpack_height
1;399,746;230,249
2;264,349;187,487
3;412,181;283,668
4;423,373;262,402
5;551,489;302,215
6;735,833;561,233
7;630,617;245,067
8;NA;NA
9;539,455;334,143
10;277,14;212,464
11;299,3;256,332
12;268,467;216,169
13;352,123;234,831
14;308,073;250,191
15;394,982;394,813
16;236,665;177,898
17;290,174;195,097
18;303,985;287,942
19;235,238;160,044
20;412,117;217,575
21;305,03;199,841
22;309,886;211,074
23;451,721;314,845
24;238,188;205,354
25;293,346;193,733
26;276,529;158,478
27;NA;NA
28;272,619;202,312
29;323,885;240,397
30;215,798;169,181
31;557,066;375,57
32;447,766;299,587
33;296,194;271,539
34;304,101;161,183
35;413,135;289,211
36;395,039;276,436
37;313,759;195,673
38;290,085;192,519
39;338,633;171,784
40;307,495;252,491
41;298,056;200,339
42;400,795;226,546
43;424,028;226,255
