ID;bug_length;ant_head_length
01;578,146;60,55
02;296,951;73,207
03;431,283;63,0908
04;515,442;58,7315
05;511,963;67,47166667
06;930,705;104,077
07;702,607;118,004
08;867,073;172,7075
09;590,36;74,22833333
10;282,875;44,071
11;436,505;46,328
12;396,461;49,461
13;454,235;49,18
14;364,088;42,76
15;676,755;74,741
16;266,972;41,164
17;290,766;69,57
18;408,892;43,777
19;248,29;47,89
20;381,703;72,179
21;357,113;42,81
22;373,841;42,687
23;426,298;82,037
24;288,862;49,343
25;362,598;55,543
26;357,946;52,799
27;246,335;68,237
28;367,316;43,4865
29;384,708;53,012
30;298,107;35,275
31;505,009;75,133
32;457,109;57,847
33;356,383;42,72
34;405,338;43,23
35;536,905;51,751
36;368,262;81,056
37;331,726;65,02
38;353,51;39,941
39;339,888;50,5355
40;388,204;48,4895
41;416,188;66,5855
42;433,438;59,2995
43;496,638;74,518
