ID;Location;Image repository;Link
1;Unindentified;Flickr;https://flic.kr/p/8WNeNN
2;Malaysia;Flickr;https://flic.kr/p/nx1r7m
3;Singapore;Deviant Art:;https://www.deviantart.com/melvynyeo/art/Acanthaspis-Petax-382583726
4;Singapore;Deviant Art;https://www.deviantart.com/melvynyeo/art/Ant-Snatching-Assassin-Bug-Acanthaspis-sp-544918372
5;Singapore;Deviant Art;https://www.deviantart.com/melvynyeo/art/Ant-Snatching-Assassin-Bug-Acanthaspis-sp-499581762
6;Singapore;iNaturalist;https://www.inaturalist.org/photos/128775993
7;China;iNaturalist;https://www.inaturalist.org/photos/63541729
8;India;iNaturalist;https://www.inaturalist.org/photos/45722893
9;Malaysia;Flickr;https://flic.kr/p/5DrFKF
10;Malaysia;Flickr;https://flic.kr/p/5FgcFB
11;Malaysia;Flickr;https://flic.kr/p/fyXJ4Z
12;Unindentified;Flickr;https://flic.kr/p/9RMd28
13;Unindentified;Flickr;https://flic.kr/p/bpvcbG
14;Unindentified;Flickr;https://flic.kr/p/bCq6Sp
15;Unindentified;Flickr;https://flic.kr/p/RsAJcL
16;Unindentified;Flickr;https://flic.kr/p/xsFaFR
17;Unindentified;Flickr;https://flic.kr/p/2juMz4B
18;Singapore;Flickr;https://flic.kr/p/HC67SJ
19;China;Flickr;https://flic.kr/p/2jWMfoW
20;Malaysia;Flickr;https://flic.kr/p/2hDAw1s
21;Singapore;Flickr;https://flic.kr/p/2gTfWBy
22;Unindentified;Flickr;https://flic.kr/p/2jVRg9g
23;Unindentified;Flickr;https://flic.kr/p/p3ES1S
24;Unindentified;Flickr;https://flic.kr/p/BtoTh3
25;Singapore;Flickr;https://flic.kr/p/vKqVv8
26;Malaysia;Flickr;https://flic.kr/p/rLkNcP
27;Singapore;Flickr;https://flic.kr/p/rjHMH5
28;Singapore;Flickr;https://flic.kr/p/qY1CWn
29;Singapore;Flickr;https://flic.kr/p/q29qvP
30;Singapore;Flickr;https://flic.kr/p/p5xqU4
31;Singapore;Flickr;https://flic.kr/p/mfaLg7
32;Malaysia;Flickr;https://flic.kr/p/2hUqJX3
33;Singapore;Flickr;https://flic.kr/p/DtZiWe
34;Singapore;Flickr;https://flic.kr/p/dD5wZk
35;Singapore;Flickr;https://flic.kr/p/djaNWR
36;Singapore;Flickr;https://flic.kr/p/2bmUZJy
37;Singapore;Flickr;https://flic.kr/p/Bkv5e2
38;Singapore;Flickr;https://flic.kr/p/SDZzc9
39;Singapore;Flickr;https://flic.kr/p/UKyaHL
40;Singapore;Flickr;https://flic.kr/p/CQSeC3
41;Malaysia;Flickr;https://flic.kr/p/5F1C7R
42;Malaysia;Flickr;https://flic.kr/p/5EXrS6
43;Malaysia;Flickr;https://flic.kr/p/5F2KUy
